"time","serial|position","serial|force","serial|acceleration","serial|velocity","serial|repetitions","serial|travel","serial|coil force","serial|calibration force","serial|power","serial|energy","serial|kCal","serial|active","can|voltage","can|current","can|temperature","can|errors","can|force","can|relay status","can|12v status"
515,198,14836,-2.05,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14836,0,0
520,198,14838,-1.95,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14838,0,0
525,231,14840,-1.76,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14840,0,0
530,231,14842,-1.57,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14842,0,0
535,198,14844,-1.48,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14844,0,0
540,198,14845,-1.31,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14845,0,0
545,165,14846,-1.14,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14846,0,0
550,198,14848,-1.06,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14848,0,0
555,198,14849,-0.91,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14849,0,0
560,198,14851,-0.77,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14851,0,0
565,231,14852,-0.71,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14852,0,0
570,198,14853,-0.59,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14853,0,0
575,231,14855,-0.48,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14855,0,0
580,198,14856,-0.43,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14856,0,0
585,165,14856,-0.33,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14856,0,0
590,198,14857,-0.25,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14857,0,0
595,198,14858,-0.21,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14858,0,0
600,198,14860,-0.14,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14860,0,0
605,198,14861,-0.08,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14861,0,0
610,165,14863,-0.06,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14863,0,0
615,198,14864,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14864,0,0
620,198,14865,0.03,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14865,0,0
625,198,14867,0.05,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14867,0,0
630,231,14868,0.08,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14868,0,0
635,165,14869,0.1,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14869,0,0
640,198,14871,0.11,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14871,0,0
645,198,14872,0.12,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14872,0,0
650,165,14874,0.14,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14874,0,0
655,198,14875,0.14,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14875,0,0
660,165,14876,0.15,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14876,0,0
665,198,14877,0.15,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14877,0,0
670,198,14877,0.15,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14877,0,0
675,231,14878,0.15,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14878,0,0
680,231,14878,0.15,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14878,0,0
685,231,14878,0.14,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14878,0,0
690,198,14878,0.14,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14878,0,0
695,231,14878,0.13,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14878,0,0
700,231,14878,0.13,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14878,0,0
705,198,14878,0.12,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14878,0,0
710,198,14878,0.11,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14878,0,0
715,198,14877,0.11,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14877,0,0
720,198,14876,0.1,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14876,0,0
725,198,14875,0.09,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14875,0,0
730,198,14874,0.09,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14874,0,0
735,198,14872,0.08,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14872,0,0
740,198,14871,0.07,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14871,0,0
745,231,14870,0.07,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14870,0,0
750,198,14869,0.06,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14869,0,0
755,198,14867,0.05,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14867,0,0
760,198,14865,0.05,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14865,0,0
765,198,14863,0.04,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14863,0,0
770,231,14861,0.04,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14861,0,0
775,198,14859,0.03,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14859,0,0
780,198,14857,0.03,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14857,0,0
785,231,14855,0.02,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14855,0,0
790,165,14852,0.02,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14852,0,0
795,198,14850,0.02,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14850,0,0
800,198,14848,0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14848,0,0
805,231,14846,0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14846,0,0
810,198,14844,0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14844,0,0
815,198,14842,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14842,0,0
820,231,14839,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14839,0,0
825,198,14837,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14837,0,0
830,165,14833,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14833,0,0
835,198,14830,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14830,0,0
840,198,14826,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14826,0,0
845,198,14821,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14821,0,0
850,198,14816,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14816,0,0
855,198,14809,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14809,0,0
860,198,14802,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14802,0,0
865,198,14793,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14793,0,0
870,198,14785,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14785,0,0
875,198,14775,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14775,0,0
880,165,14765,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14765,0,0
885,198,14753,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14753,0,0
890,165,14742,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14742,0,0
895,198,14730,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14730,0,0
900,198,14718,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14718,0,0
905,198,14705,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14705,0,0
910,198,14693,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14693,0,0
915,198,14681,-0.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14681,0,0
920,198,14670,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14670,0,0
925,198,14660,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14660,0,0
930,198,14650,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14650,0,0
935,231,14641,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14641,0,0
940,198,14633,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14633,0,0
945,231,14625,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14625,0,0
950,198,14618,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14618,0,0
955,198,14612,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14612,0,0
960,231,14606,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14606,0,0
965,198,14601,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14601,0,0
970,198,14597,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14597,0,0
975,198,14593,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14593,0,0
980,198,14591,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14591,0,0
985,231,14589,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14589,0,0
990,231,14589,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14589,0,0
995,198,14589,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14589,0,0
1000,198,14590,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14590,0,0
1005,198,14591,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14591,0,0
1010,198,14593,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14593,0,0
1015,231,14595,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14595,0,0
1020,198,14598,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14598,0,0
1025,198,14601,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14601,0,0
1030,198,14605,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14605,0,0
1035,198,14609,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14609,0,0
1040,198,14613,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14613,0,0
1045,198,14617,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14617,0,0
1050,198,14621,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14621,0,0
1055,198,14625,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14625,0,0
1060,198,14628,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14628,0,0
1065,198,14632,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14632,0,0
1070,198,14635,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14635,0,0
1075,231,14638,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14638,0,0
1080,198,14642,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14642,0,0
1085,198,14645,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14645,0,0
1090,231,14649,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14649,0,0
1095,198,14653,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14653,0,0
1100,231,14657,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14657,0,0
1105,198,14660,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14660,0,0
1110,165,14663,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14663,0,0
1115,198,14666,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14666,0,0
1120,165,14668,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14668,0,0
1125,198,14670,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14670,0,0
1130,198,14671,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14671,0,0
1135,231,14672,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14672,0,0
1140,231,14674,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14674,0,0
1145,198,14676,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14676,0,0
1150,198,14677,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14677,0,0
1155,198,14679,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14679,0,0
1160,198,14680,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14680,0,0
1165,198,14681,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14681,0,0
1170,231,14681,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14681,0,0
1175,198,14681,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14681,0,0
1180,198,14681,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14681,0,0
1185,198,14681,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14681,0,0
1190,198,14681,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14681,0,0
1195,198,14681,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14681,0,0
1200,198,14680,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14680,0,0
1205,231,14680,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14680,0,0
1210,198,14680,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14680,0,0
1215,165,14679,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14679,0,0
1220,231,14679,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14679,0,0
1225,198,14679,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14679,0,0
1230,198,14679,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14679,0,0
1235,231,14678,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14678,0,0
1240,198,14678,0,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14678,0,0
1245,198,14677,37.34,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14677,0,0
1250,198,14676,-3.51,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14676,0,0
1255,231,14676,-3.48,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14676,0,0
1260,198,14675,-3.37,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14675,0,0
1265,231,14675,-3.24,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14675,0,0
1270,198,14675,-3.16,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14675,0,0
1275,231,14674,-2.99,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14674,0,0
1280,198,14674,-2.81,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14674,0,0
1285,231,14673,-2.71,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14673,0,0
1290,231,14673,-2.51,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14673,0,0
1295,198,14673,-2.31,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14673,0,0
1300,198,14673,-2.21,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14673,0,0
1305,198,14673,-2.01,0,0,0,0,0,0,0.051606861,1.23343E-05,0,0,0,25.00001233,0,14673,0,0
